data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_52,yhat_model_48_to_52,yhat_model_49_to_52,yhat_model_50_to_52,yhat_model_51_to_52,yhat_model_52_to_52
11/04/2020,,,,,,,,,,,,,,,,33.0,37.56611328944564,40.43388671055436,47.0,53.0,60.00000000000007,72.00000000001396,84.00000000161918,96.00000011415429,120.00000489925772,139.00012830744268,153.00205864743853,166.02036938867477,194.12564041832903,209.4914659971654,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,37.56611328944564,40.43388671055436,47.0,53.0,60.0,72.00000000000007,84.00000000001396,96.00000000161918,120.00000011415429,139.00000489925773,153.00012830744268,166.00205864743853,194.02036938867477,209.12564041832903,227.4914659971654,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,40.43388671055436,47.0,53.0,60.0,72.0,84.00000000000007,96.00000000001396,120.00000000161918,139.0000001141543,153.00000489925773,166.00012830744268,194.00205864743853,209.02036938867477,227.12564041832903,273.4914659971654,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,47.0,53.0,60.0,72.0,84.0,96.00000000000007,120.00000000001396,139.00000000161918,153.0000001141543,166.00000489925773,194.00012830744268,209.00205864743853,227.02036938867477,273.12564041832906,300.4914659971654,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,53.0,60.0,72.0,84.0,96.0,120.00000000000007,139.00000000001396,153.00000000161918,166.0000001141543,194.00000489925773,209.00012830744268,227.00205864743853,273.02036938867474,300.12564041832906,349.4914659971654,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,60.0,72.0,84.0,96.0,120.0,139.00000000000009,153.00000000001396,166.00000000161918,194.0000001141543,209.00000489925773,227.00012830744268,273.0020586474385,300.02036938867474,349.12564041832906,383.4914659971654,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,72.0,84.0,96.0,120.0,139.0,153.00000000000009,166.00000000001396,194.00000000161918,209.0000001141543,227.00000489925773,273.0001283074427,300.0020586474385,349.02036938867474,383.12564041832906,430.4914659971654,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,84.0,96.0,120.0,139.0,153.0,166.00000000000009,194.00000000001396,209.00000000161918,227.0000001141543,273.0000048992577,300.0001283074427,349.0020586474385,383.02036938867474,430.12564041832906,463.4914659971654,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,96.0,120.0,139.0,153.0,166.0,194.00000000000009,209.00000000001396,227.00000000161918,273.0000001141543,300.0000048992577,349.0001283074427,383.0020586474385,430.02036938867474,463.12564041832906,557.4914659971654,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,120.0,139.0,153.0,166.0,194.0,209.00000000000009,227.00000000001396,273.0000000016192,300.0000001141543,349.0000048992577,383.0001283074427,430.0020586474385,463.02036938867474,557.125640418329,754.4914659971654,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,139.0,153.0,166.0,194.0,209.0,227.00000000000009,273.000000000014,300.0000000016192,349.0000001141543,383.0000048992577,430.0001283074427,463.0020586474385,557.0203693886748,754.125640418329,856.4914659971654,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,166.0,194.0,209.0,227.0,273.00000000000006,300.000000000014,349.0000000016192,383.0000001141543,430.0000048992577,463.0001283074427,557.0020586474385,754.0203693886748,856.125640418329,952.4914659971654,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,194.0,209.0,227.0,273.0,300.00000000000006,349.000000000014,383.0000000016192,430.0000001141543,463.0000048992577,557.0001283074427,754.0020586474385,856.0203693886748,952.125640418329,1099.4914659971653,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,209.0,227.0,273.0,300.0,349.00000000000006,383.000000000014,430.0000000016192,463.0000001141543,557.0000048992578,754.0001283074427,856.0020586474385,952.0203693886748,1099.125640418329,1168.4914659971653,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,227.0,273.0,300.0,349.0,383.00000000000006,430.000000000014,463.0000000016192,557.0000001141543,754.0000048992578,856.0001283074427,952.0020586474385,1099.0203693886747,1168.125640418329,1212.4914659971653,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.0,273.0,300.0,349.0,383.0,430.00000000000006,463.000000000014,557.0000000016192,754.0000001141543,856.0000048992578,952.0001283074427,1099.0020586474386,1168.0203693886747,1212.125640418329,1313.4914659971653,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,300.0,349.0,383.0,430.0,463.00000000000006,557.000000000014,754.0000000016192,856.0000001141543,952.0000048992578,1099.0001283074428,1168.0020586474386,1212.0203693886747,1313.125640418329,1363.4914659971653,1372.30339330975,1381.1464405378917,1488.0415060269531,1595.0024787521388,1649.0000001125352,1703.0
