data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_32,yhat_model_28_to_32,yhat_model_29_to_32,yhat_model_30_to_32,yhat_model_31_to_32
07/04/2020,10968.035912828234,34.36848137259935,8028473.069144933,25.550416337412845,105.01876441768752,159.77453531293006,96.38391755534634,127.48316496162434,212.09967187173928,152.84993628976355,,,,,,,,,,,,,,,,,,,,,
08/04/2020,20477.74024196552,38.213852034201864,27594888.606075205,26.66674740716953,130.00692730651,205.60167871680233,109.37809911187608,151.46685609111404,297.161288263306,201.99624225275096,294.50302992646726,,,,,,,,,,,,,,,,,,,,
09/04/2020,38232.71994641773,42.48946793605239,94847160.92630547,27.831852439778608,160.94077321703406,264.57313869431266,124.12411602233922,179.9626523316427,416.33648210312776,266.9447097896149,459.576641913202,1.937531607505087e+23,,,,,,,,,,,,,,,,,,,
10/04/2020,71381.94240327494,47.24346773188449,326001820.9966596,29.04786243339714,199.23501785892736,340.4590184060568,140.85814530903914,213.81942604498067,583.3063497033299,352.77625608251253,717.1766275034641,2.5471312542770343e+23,13574477356467.473,,,,,,,,,,,,,,,,,,
11/04/2020,133272.80163183578,52.529376143112444,1120509947.3216019,30.31700149227569,246.6409943719955,438.11077642292594,159.84820464970323,254.04574983676366,817.2387293216921,466.205481103848,1119.1654843380481,3.348527374409743e+23,15626784640646.21,90993811553.40753,,,,,,,,,,,,,,,,,
12/04/2020,,58.406706587338896,3851335977.8426647,31.641590894685173,305.3267480713655,563.7713852213947,181.39844503613324,301.8399413182717,1144.9886342622835,616.1059506239384,1746.4754612734057,4.4020643060084266e+23,17989377549684.484,101595714880.85648,202676715579.99362,,,,,,,,,,,,,,,,
13/04/2020,,,13237534258.1123,33.02405333857676,377.9761889348761,725.4744505248788,205.85402215581368,358.6257602560108,1604.181159742562,814.204375065409,2725.4026142829453,5.787072341807959e+23,20709167756964.086,113432870938.63644,227266693709.48895,1.7699218407771268e+25,,,,,,,,,,,,,,,
14/04/2020,,,,34.46691737274021,467.9118364315085,933.5578075813302,233.60662451811683,426.0948215053746,2247.530775649167,1075.9979898007746,4253.033938721633,7.607841222039285e+23,23840159449741.652,126649201932.09708,254840078308.1424,2.368195777208835e+25,3.644427326949282e+20,,,,,,,,,,,,,,
15/04/2020,,,,,579.2467702520529,1201.3244290898324,265.1007468653787,506.2569871837701,3148.892852164397,1421.9669035336474,6636.926811885767,1.0001473049095829e+24,27444521636944.117,141405398781.75385,285758834486.83527,3.168699944810714e+25,4.595053660230836e+20,667.6579710885674,,,,,,,,,,,,,
16/04/2020,,,,,,1545.8928972668725,300.84080934584676,601.5002392352594,4411.742122440159,1879.1762567506735,10357.029391486178,1.3148205940735615e+24,31593822577761.992,157880874885.79205,320428843176.4521,4.2397927725711e+25,5.7936449944456915e+20,858.9072786515146,594.4592235569698,,,,,,,,,,,,
17/04/2020,,,,,,,341.3992364714979,714.6618159538424,6181.051394471726,2483.3935270645447,16162.30837802929,1.728498578273167e+24,36370450841869.625,176275947520.0425,359305229263.62744,5.672939397049773e+25,7.30488146682043e+20,1104.9395727542192,693.7402970472327,616.7220950795167,,,,,,,,,,,
18/04/2020,,,,,,,,849.1127315789511,8659.934166770665,3281.8866181983376,25221.538168197865,2.272330802057092e+24,41869251217861.3,196814273398.00677,402898336168.4941,7.590522256370433e+25,9.210314628434007e+20,1421.4473317248837,809.6023758660037,669.8975756162608,815.8782828228798,,,,,,,,,,
19/04/2020,,,,,,,,,12132.96168996043,4337.121627050687,39358.60971657974,2.987267295953428e+24,48199407952520.85,219745568003.71817,451780425294.7267,1.0156291843064332e+26,1.1612768248198428e+21,1828.618113324855,944.814665945882,727.6579927928201,948.4473315565207,916.3089302599128,,,,,,,,,
20/04/2020,,,,,,,,,,5731.649565077691,61419.73374071705,3.9271420734139645e+24,55486612714546.66,245348641760.47998,506593188297.8196,1.3589350049652385e+26,1.464188703934587e+21,2352.422161376952,1102.608860345259,790.3986724958426,1102.55703537579,1052.9413983459851,1073.455388021479,,,,,,,,
21/04/2020,,,,,,,,,,,95846.4671375693,5.162726778976049e+24,63875560329845.7,273934789950.77527,568056170787.6758,1.8182860203854572e+26,1.8461132736909969e+21,3026.268844770166,1286.7563795643998,858.549026700603,1281.7074557652527,1209.9473788128614,1207.2342444466544,1215.4604355386264,,,,,,,
22/04/2020,,,,,,,,,,,,6.78705972335389e+24,73532821843747.2,305851577603.7307,636976218046.2898,2.432908152228925e+26,2.3276605058758523e+21,3893.137580146708,1501.6585118236949,932.5754924676065,1489.9673662726411,1390.364802633649,1357.6852258861854,1332.311314183156,1918.8531381573332,,,,,,
