data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42
05/04/2020,48.31496921884582,49.20130927330908,45.95629863307171,49.22556867074284,48.425754583668486,50.45797487729129,51.51042965531461,58.496177745488204,60.861333680962844,61.7068033669567,61.22370505241397,66.69242865219684,65.80319995679967,66.23082381828456,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,50.41016662381339,51.34955493443074,47.9373267007381,51.3553032974409,50.536514665207925,52.674686066752905,53.6842805873568,60.69288127770793,63.1701374727781,64.1021269081625,63.72002396744699,69.12849173397753,68.36089365887028,68.78136230368035,66.80358699240257,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,53.497800595552405,49.918354768404484,53.48503792413896,52.647210135092735,54.8913972562145,55.85813151939899,62.88958480992768,65.47894126459336,66.49725221899678,66.21634288248,71.56449291432571,70.91858736094092,71.33190078907613,69.38982462313027,83.40145884429388,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,51.89938283607086,55.61477255083701,54.75790560497756,57.10810844567611,58.03198245144117,65.08628834214741,67.78721614875195,68.89237752983105,68.71266179751301,73.99954592241177,73.47628106301154,73.88137389148532,71.97606225385796,85.91316830259248,88.2960783414662,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,57.74450717753507,56.868601074862376,59.32481963513772,60.20583338348337,67.28299187436716,70.09530328425299,71.28750284066533,71.20898071254604,76.4345989304978,76.03397476508215,76.43059714511524,74.56229988458566,88.42487776089108,90.92288809223368,91.78757596705067,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,58.97929654474719,61.54153082459933,62.37968431552557,69.47875338364199,72.40339041975403,73.68262815149959,73.70529962757905,78.86965193858383,78.59166846715277,78.97982039874516,77.14853751531335,90.93658721918968,93.54969784300118,94.56967415143605,100.65521511342709,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,63.75824201406094,64.55353524756775,71.67443324339361,74.71147755525506,76.07775346233385,76.20103496387476,81.30470494666989,81.1493621692234,81.52682033605849,79.73477514604103,93.44793249487914,96.17650759376866,97.35177233582142,103.48817367411829,103.44139783031562,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,66.72738617960994,73.87011310314523,77.0195646907561,78.47287877316812,78.6958953268898,83.7397579547559,83.70705587129402,84.07329719840854,82.31985090618987,95.95823833716882,98.80331734453614,100.13307394535983,106.32108949695065,106.31329761798341,105.143711070797,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,76.06579296289684,79.32765182625714,80.8680040840024,81.19075568990482,86.17481096284195,86.26474957336463,86.61977406075859,84.90461405581173,98.46832044927126,101.43012709530365,102.91354173568531,109.15400531978301,109.18519740565122,107.80381075440664,117.58605022722321,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,81.63573896175818,83.26312939483667,83.68561605291984,88.60986397092799,88.82244327543526,89.16593781744042,87.48889524689257,100.9784025613737,104.05693684607112,105.69400952601076,111.98692114261539,112.05709719331904,110.46391043801628,120.49443079094453,119.60471161812333,,,,,,,,,,,,,
