data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41
31/03/2020,21219.53803969301,13078.790734985772,11264.024437515289,7994.725588843609,5388.396641473501,3995.1977847286544,2660.203962076967,1743.8636920315435,1175.1751992383563,817.6307183290085,558.9510073916176,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,38905.33529843894,23634.73149468982,20254.19760804379,14214.933986861637,9455.715068176725,6937.25267709453,4553.425319700284,2939.6953535493108,1951.7812949937347,1338.6693694185606,901.1540137004079,599.5158535108661,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,71331.67139890559,42710.41139390862,36419.71153572702,25274.707181045535,16593.16368107867,12045.830344072388,7794.019720916326,4955.552897378113,3241.6019551436816,2191.7421159051714,1452.8617815682524,950.9062230131177,638.833428810145,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,130784.3077441774,77182.14365357907,65487.431988853554,44939.4153837102,29118.16599399273,20916.35340850047,13340.889362391277,8353.758320249928,5383.791341040118,3588.439096592565,2342.338073459907,1508.254768693426,997.1905810127572,671.2294263269073,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,139476.13953002845,117755.01693053456,79904.0337268155,51097.404156902616,36319.110215974004,22835.370624214956,14082.238555069594,8941.631207331193,5875.187165729128,3776.3727561596143,2392.2784310720394,1556.5701637008146,1031.2009770114628,694.1873502444265,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,211739.00993202205,142072.4891790738,89667.21022582617,63064.42337812049,39086.91072840078,23738.94899989823,14850.644013345558,9619.175163130112,6088.357336223209,3794.4491942367445,2429.736823288931,1584.2205560152274,1049.6202004047166,726.2774711923163,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,252610.4282863528,157350.6271471987,109504.92653494573,66904.39211307938,40017.622014853325,24664.585521073095,15749.0354279626,9815.793473533951,6018.465284240283,3792.7111595214365,2433.817292701516,1587.0392405014622,1081.800261312445,778.9862801443197,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,276123.45473067404,190144.11443241895,114519.09605043939,67459.1816061671,40963.99983594254,25785.175205241885,15825.254037214645,9546.029614158933,5920.25350304694,3739.0416326576196,2399.623740015951,1611.3563366552294,1144.6430602183716,823.3066199799923,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,330165.8235600109,196020.36497161354,113718.43087739538,68034.76511394841,42216.88772028076,25513.848270914532,15141.182525887478,9241.252514668711,5744.24069245921,3628.2619526337007,2400.137378899236,1681.9394239694975,1193.3837623756604,859.6161738755022,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,335524.6837320556,191699.35379166712,112995.05132916247,69119.77888847055,41134.02868986876,24015.786410530545,14425.184326299224,8824.801747246473,5485.978729666097,3575.037567138611,2471.4431286231293,1729.8109473922316,1229.2038555034399,900.9961508427525,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,323154.67211962334,187667.01999331816,113166.65182061617,66317.25243062664,38092.00476449694,22517.071416175713,13557.427351614651,8294.870385668442,5325.067522724053,3631.540500788721,2507.362684205932,1757.6939153815292,1271.7903477112357,946.6241325332057,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,311685.4232012103,185282.5817766726,106918.24044530482,60418.62640576352,35148.14741304819,20828.09808749073,12541.950690214786,7931.761160279592,5336.188503037103,3634.4246980435137,2513.405637589627,1795.1804644432414,1319.7345923817818,997.2256045391658,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,303354.6946696478,172376.11211167602,95831.4071240885,54864.69548974697,31997.934319778553,18963.59072560759,11814.467109618292,7840.9996346622065,5268.102205139069,3594.031841258375,2533.9655279805374,1839.9059716217537,1373.9186630003128,1155.4663707549557,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,277908.83859463973,152000.45313355126,85641.35047599114,49158.00743937312,28673.193037580953,17597.810910298787,11521.571105627294,7636.1193722712405,5139.267885293127,3576.7887542075564,2565.102107613832,1892.904157242214,1579.792106284699,1278.4813744309495,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,241091.50064851105,133682.34063601427,75520.8030387065,43354.236592977264,26212.180876318547,16929.80575527657,11068.562605086518,7348.870450618392,5048.77341501226,3576.1331959183294,2607.9317830068962,2159.9443845767514,1731.966884382762,1372.3534865813697,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,208672.19046170145,116021.62066160083,65552.16323819729,39043.4031707171,24876.670055128805,16043.892476012994,10508.480605675191,7126.53576931242,4985.660647577756,3593.054703163843,2953.1479021226883,2346.306601403324,1840.577799204972,1425.706659418664,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,178242.4963628268,99115.71377786246,58155.68488344949,36553.79878406835,23255.63805941488,15026.549369986422,10059.37638640613,6950.751197180277,4950.299000935821,4037.6421699027046,3178.5565402139555,2468.552503455423,1891.3961722915278,1477.8928232392072,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,149864.23380107072,86623.69080571512,53712.181034884044,33709.07043655931,21487.139239396387,14199.192505161358,9690.379193492741,6820.230200527716,5520.398853189347,4306.0108484092325,3310.7817908855577,2509.197426360995,1940.0104252885708,1513.694426413614,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,129027.17634298895,78924.7215745346,48861.33103696518,30725.427463432687,20042.70046710732,13509.82739128557,9396.511196474572,7547.673175562416,5833.380401460444,4440.365781775368,3328.7958475820597,2546.626109178399,1966.0027211131016,1540.8822247348755,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,115972.0487159558,70824.54780819466,43935.67157975861,28291.034287207796,18834.705278085723,12945.959310675495,10319.430149905234,7902.517691220837,5955.345148460472,4416.105994078671,3342.922520111942,2553.4656347925074,1980.5009381911268,1569.530244717104,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,102660.25230545597,62825.5941910579,39933.87130409394,26258.375672599414,17836.179723443067,14109.06860190565,10705.591194502485,7987.210419208175,5858.572602192845,4388.210320782794,3316.468831932611,2545.544301317915,1997.197243047536,1595.0756446005187,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,89837.14470585031,56368.17873615213,36608.0744446583,24573.637186131582,19290.38851191874,14502.932774340106,10712.314515842889,7772.203153906726,5760.345836187613,4307.465651118592,3271.7963748557363,2541.3953258069446,2010.0619515071835,1603.6245433587465,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,79565.8289634708,51037.09122206255,33856.10898290835,26374.4616629411,19647.21566848538,14367.179060460328,10310.897545758407,7561.53003773184,5594.583056809362,4205.2505285321395,3233.8769866205257,2533.014069002827,2001.1953200406817,1625.3615627539243,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,71153.28298260749,46644.95152998595,36060.042418542245,26616.20856485983,19269.022940845578,13678.825179149795,9925.920793214445,7266.305088564162,5405.022190141519,4115.046666843631,3192.021155843131,2497.3318882765548,2010.0247609362252,1647.9203093449046,
