data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_47,yhat_model_43_to_47,yhat_model_44_to_47,yhat_model_45_to_47,yhat_model_46_to_47,yhat_model_47_to_47
12/04/2020,,,,,,,,,,,,,,,,,,336.6428571428571,364.2857142857143,400.5357142857142,464.71428571428567,521.6071428571428,561.9285714285714,562.6071428571427,581.4285714285713,646.6785714285713,677.7857142857142,691.1785714285713,705.7142857142858,726.5714285714286,725.2857142857143,717.3928571428571,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,378.7857142857143,417.07142857142844,485.07142857142844,545.5714285714284,588.8214285714286,589.7857142857142,609.9999999999998,680.5714285714284,714.5357142857142,729.6428571428571,746.3214285714284,769.9999999999999,768.0714285714286,758.4999999999998,763.392857142857,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,433.60714285714266,505.42857142857133,569.5357142857142,615.7142857142857,616.9642857142856,638.5714285714284,714.4642857142856,751.2857142857142,768.1071428571427,786.9285714285713,813.4285714285714,810.857142857143,799.6071428571427,805.9285714285712,811.8928571428572,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,525.7857142857142,593.4999999999999,642.6071428571428,644.1428571428569,667.1428571428569,748.3571428571427,788.0357142857142,806.5714285714284,827.5357142857142,856.8571428571428,853.6428571428572,840.7142857142856,848.4642857142854,855.7857142857143,846.9642857142854,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,617.4642857142856,669.4999999999999,671.3214285714284,695.7142857142856,782.2499999999998,824.7857142857142,845.0357142857142,868.1428571428571,900.2857142857141,896.4285714285714,881.8214285714284,890.9999999999999,899.6785714285714,889.2142857142854,883.9285714285713,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,696.3928571428572,698.4999999999998,724.285714285714,816.1428571428571,861.5357142857142,883.4999999999998,908.75,943.7142857142857,939.2142857142857,922.9285714285713,933.5357142857141,943.5714285714286,931.4642857142854,924.7142857142858,998.6785714285716,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,725.6785714285713,752.8571428571427,850.0357142857142,898.2857142857142,921.9642857142856,949.3571428571429,987.142857142857,982.0000000000001,964.0357142857142,976.0714285714283,987.4642857142857,973.7142857142854,965.5,1051.2142857142858,1142.4285714285716,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,781.4285714285711,883.9285714285713,935.0357142857142,960.4285714285713,989.9642857142856,1030.5714285714284,1024.7857142857142,1005.1428571428569,1018.6071428571428,1031.3571428571427,1015.9642857142854,1006.2857142857142,1103.75,1210.7142857142858,1313.5714285714284,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,917.8214285714284,971.7857142857142,998.8928571428569,1030.5714285714284,1074.0,1067.5714285714284,1046.2499999999998,1061.1428571428569,1075.25,1058.2142857142853,1047.0714285714284,1156.2857142857142,1279.0,1400.1428571428569,1431.8928571428569,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,1008.535714285714,1037.3571428571427,1071.1785714285713,1117.4285714285716,1110.3571428571431,1087.3571428571427,1103.678571428571,1119.1428571428569,1100.4642857142853,1087.8571428571427,1208.8214285714284,1347.2857142857142,1486.7142857142853,1526.2142857142853,1554.6428571428569,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.8214285714284,1111.7857142857142,1160.8571428571427,1153.1428571428573,1128.4642857142856,1146.2142857142853,1163.0357142857142,1142.7142857142853,1128.642857142857,1261.3571428571427,1415.5714285714284,1573.2857142857138,1620.5357142857138,1655.8571428571422,1688.0357142857147,1669.8857142857141,1665.6000000000008,1662.8999999999996,1741.833333333333,1784.999999999999,1489.0
