data,yhat,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33
13/04/2020,,,,,16.696969696969695,15.363636363636367,15.8030303030303,16.357142857142858,16.934065934065934,16.97380952380952,17.161764705882348,17.4264705882353,18.070863433092534,19.53333333333333,20.371428571428577,23.207792207792195,25.959345002823262,27.992094861660078,29.664492753623186,,,,,,,,,
14/04/2020,,,,,,15.927272727272733,16.386946386946384,16.967032967032967,17.57142857142857,17.613095238095237,17.810294117647054,18.088235294117652,18.765393876848982,20.303508771929824,21.18571428571429,24.174025974025966,27.07566346696781,29.22134387351778,30.988405797101443,33.29999999999998,,,,,,,,
15/04/2020,,,,,,,16.97086247086247,17.57692307692308,18.20879120879121,18.25238095238095,18.45882352941176,18.750000000000007,19.459924320605435,21.073684210526316,22.000000000000004,25.14025974025973,28.191981931112366,30.450592885375492,32.31231884057971,34.749999999999986,39.97094017094016,,,,,,,
16/04/2020,,,,,,,,18.18681318681319,18.846153846153847,18.891666666666666,19.107352941176465,19.411764705882362,20.154454764361883,21.843859649122805,22.81428571428572,26.106493506493493,29.308300395256914,31.679841897233196,33.63623188405796,36.19999999999999,41.69572649572648,46.49592999593,,,,,,
17/04/2020,,,,,,,,,19.483516483516482,19.530952380952378,19.75588235294117,20.073529411764714,20.848985208118332,22.614035087719298,23.628571428571433,27.072727272727263,30.424618859401463,32.90909090909091,34.96014492753623,37.64999999999999,43.420512820512805,48.464794464794466,53.19348659003831,,,,,
18/04/2020,,,,,,,,,,20.170238095238094,20.404411764705877,20.735294117647065,21.543515651874785,23.384210526315787,24.44285714285715,28.038961038961027,31.540937323546018,34.13833992094861,36.284057971014484,39.09999999999998,45.145299145299134,50.43365893365895,55.394909688013136,61.33399014778326,,,,
19/04/2020,,,,,,,,,,,21.052941176470583,21.39705882352942,22.238046095631233,24.15438596491228,25.257142857142863,29.00519480519479,32.657255787690566,35.36758893280632,37.60797101449275,40.54999999999998,46.870085470085456,52.402523402523414,57.59633278598796,63.818226600985234,70.96826103077491,,,
20/04/2020,,,,,,,,,,,,22.058823529411775,22.932576539387682,24.924561403508772,26.071428571428577,29.97142857142856,33.773574251835115,36.59683794466403,38.93188405797101,41.999999999999986,48.59487179487178,54.37138787138788,59.797755883962786,66.3024630541872,73.7824990730441,81.8665322580645,,
21/04/2020,,,,,,,,,,,,,23.627106983144134,25.69473684210526,26.885714285714293,30.937662337662324,34.88989271597967,37.826086956521735,40.25579710144927,43.44999999999999,50.31965811965811,56.34025234025235,61.99917898193761,68.78669950738919,76.59673711531329,85.04274193548385,95.6684384164223,
22/04/2020,,,,,,,,,,,,,,26.464912280701753,27.700000000000006,31.903896103896088,36.00621118012422,39.055335968379445,41.57971014492753,44.89999999999998,52.04444444444443,58.309116809116816,64.20060207991241,71.27093596059115,79.41097515758247,88.21895161290321,99.30663489736074,112.84469696969697
