data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_32,yhat_model_28_to_32,yhat_model_29_to_32,yhat_model_30_to_32,yhat_model_31_to_32
10/04/2020,35.82791581863263,46.23529604416051,94886302.56123687,20.88451666578382,113.20387826070701,84.77741932330999,147.93184079849036,38.18439473788375,44.37421223953323,122.74571422416635,19635025679221.15,435606416436.7358,,,,,,,,,,,,,,,,,,,
11/04/2020,39.610484126778324,51.56009260670016,326139342.8960431,21.563666376448275,138.45581942832547,100.41736409884165,189.45185821375347,39.534030403807186,46.24570604869378,161.7732501905782,22817846765954.848,495673232982.3971,3000423303588894.0,,,,,,,,,,,,,,,,,,
12/04/2020,43.79240089488515,57.49813188332027,1120992894.7965562,22.264901555351088,169.3406111884328,118.94260397457958,242.62529545302883,40.931369233372116,48.196130590389274,213.20976168201648,26516600463913.86,564022807342.8853,3578977371807837.5,25792503138.277203,,,,,,,,,,,,,,,,,
13/04/2020,,64.12003941284766,3853031219.80261,22.988940406298646,207.11475123309512,140.88542521717986,310.7229168861011,42.37809730518395,50.228814788556264,281.00073666659756,30814919013828.043,641797268916.1672,4269090635508403.5,28835115242.046196,3691.0920665227977,,,,,,,,,,,,,,,,
14/04/2020,,,13243482317.939127,23.73652448857715,253.31501922249484,166.87631156004997,397.93349204554926,43.87596029265997,52.34722796535419,370.346148245006,35809991372047.305,730296238070.1091,5092274401550502.0,32236649020.240158,3775.0203746426073,8559.652908315898,,,,,,,,,,,,,,,
15/04/2020,,,,24.50841947645629,309.82099817446215,197.66205991115578,509.6214520592009,45.426765570420834,54.5549857624965,488.09932367773655,41614760742699.07,830998542951.1361,6074187876219309.0,36039444660.82206,3860.857050469562,8791.69709217115,102.54617670839568,,,,,,,,,,,,,,
16/04/2020,,,,,378.93154225296746,234.1272380907221,652.6568624919872,47.03238439513291,56.85585631231539,643.2926355617266,48360478327953.29,945586930875.8743,7245437980399399.0,40290837011.15965,3948.6454866013128,9030.031776802287,118.01138905481228,108.29419671332305,,,,,,,,,,,,,
17/04/2020,,,,,,277.3196011446401,835.8380096377939,48.694754163432926,59.25376666909291,847.8303388127148,56199671039049.516,1075976187236.0249,8642533388428688.0,45043744772.91971,4038.4300622994124,9274.827491801361,135.80894377221637,116.65926208957134,146.897352220203,,,,,,,,,,,,
18/04/2020,,,,,,,1070.4325940705876,50.415880749659536,61.75280951163507,1117.4016981923141,65309590270776.195,1224345131786.6677,1.0309022528681872e+16,50357329201.32587,4130.256165924148,9526.259389658155,156.2905864954981,125.67047768321444,174.47216842217867,166.7830721763863,,,,,,,,,,,
19/04/2020,,,,,,,,52.19784092621239,64.35725012852865,1472.6844487206772,75896219719381.52,1393173026979.7224,1.2296851018147184e+16,56297730507.86102,4224.170217879505,9784.507371082625,179.8611103851614,135.37775465270244,207.22318744252047,195.32046935976476,161.7332908819102,,,,,,,,,,
20/04/2020,,,,,,,,,67.07153369800314,1940.930901583842,88198932864384.3,1585281006730.0806,1.4667980843169398e+16,62938891132.69925,4320.219694079837,10049.75621372469,206.98635634024598,145.83485948868335,246.12205947902527,228.7407544008547,173.24992129931888,194.773289094429,,,,,,,,,
21/04/2020,,,,,,,,,,2558.058359342117,102495905424254.52,1803879217893.957,1.7496321757340596e+16,70363476134.45341,4418.453149950141,10322.195704383525,238.20241974079283,157.0997118148721,292.3228279122936,267.8794132298472,185.5866226832426,209.5034523811614,339.4196328590602,,,,,,,,
22/04/2020,,,,,,,,,,,119110405166590.5,2052620462199.0752,2.0870035099544384e+16,78663902153.68034,4518.92024497205,10602.02077480091,274.1262456792007,169.23470519221803,347.1961672168712,313.7148874949199,198.80179027306525,225.3476170356512,443.1268868379313,235.27099515099675,,,,,,,
23/04/2020,,,,,,,,,,,,2335661234989.64,2.4894281843752424e+16,87943487758.04503,4621.671767787937,10889.431641135809,315.4678220815096,182.3070527032352,412.37004783715724,367.3930349828935,212.95797748974525,242.3900318895786,578.5211544324941,244.62835910642306,348.9849657979867,,,,,,
