data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_36,yhat_model_32_to_36,yhat_model_33_to_36,yhat_model_34_to_36,yhat_model_35_to_36,yhat_model_36_to_36
09/04/2020,17.316680367215415,16.825145505443267,16.54783471524636,16.210240803415495,15.899895492690057,16.000000114126514,17.827465715106122,22.000128307442694,26.002058647438517,30.02036938867476,37.125640418329034,40.56053641087746,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,17.316680367215415,16.825145505443267,16.547834715246285,16.21024080340161,15.899895491098643,16.000000001619043,17.827460930016507,22.00000489925772,26.000128307442694,30.002058647438517,37.02036938867476,40.2799873733821,42.45508153899609,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,17.316680367215415,16.825145505443267,16.547834715246285,16.210240803401536,15.899895491084829,16.000000000013962,17.827460817481477,22.00000011415429,26.00000489925772,30.000128307442694,37.00205864743852,40.19098290379363,42.12178908029136,44.31700114400884,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,17.316680367215415,16.825145505443267,16.547834715246285,16.210240803401536,15.899895491084756,16.000000000000075,17.82746081587625,22.00000000161919,26.00000011415429,30.00000489925772,37.000128307442694,40.174474534307315,42.02012279413693,43.95297793692241,49.491465997165385,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,16.825145505443267,16.547834715246285,16.210240803401536,15.899895491084756,16.0,17.827460815862363,22.000000000013962,26.00000000161919,30.00000011415429,37.000004899257725,40.17266270806824,42.00204908041419,43.84782542102488,49.125640418329034,52.491465997165385,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,16.547834715246285,16.210240803401536,15.899895491084756,16.0,17.82746081586229,22.000000000000075,26.000000000013962,30.00000000161919,37.00000011415429,40.172543970874145,42.00012808240012,43.82951935077952,49.02036938867476,52.125640418329034,63.491465997165385,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,16.210240803401536,15.899895491084756,16.0,17.82746081586229,22.0,26.000000000000075,30.000000000013962,37.00000000161919,40.17253929668685,42.000004896047415,43.82758912169982,49.00205864743852,52.02036938867476,63.125640418329034,75.49146599716539,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,15.899895491084756,16.0,17.82746081586229,22.0,26.0,30.000000000000075,37.00000000001396,40.17253918574301,42.000000114126514,43.82746571510612,49.000128307442694,52.00205864743852,63.02036938867476,75.12564041832903,79.49146599716539,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,16.0,17.82746081586229,22.0,26.0,30.0,37.00000000000007,40.1725391841516,42.00000000161904,43.82746093001651,49.000004899257725,52.000128307442694,63.00205864743852,75.02036938867475,79.12564041832903,83.49146599716539,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,17.82746081586229,22.0,26.0,30.0,37.0,40.17253918413778,42.00000000001396,43.82746081748148,49.00000011415429,52.000004899257725,63.000128307442694,75.00205864743852,79.02036938867475,83.12564041832903,113.04119410185852,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,22.0,26.0,30.0,37.0,40.17253918413771,42.00000000000007,43.82746081587625,49.00000000161919,52.00000011415429,63.000004899257725,75.0001283074427,79.00205864743852,83.02036938867475,112.68994666344253,114.92354566338761,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,26.0,30.0,37.0,40.17253918413771,42.0,43.82746081586236,49.00000000001396,52.00000000161919,63.00000011415429,75.00000489925772,79.0001283074427,83.00205864743852,112.5863640534337,114.5594085041967,142.4914659971654,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,30.0,37.0,40.17253918413771,42.0,43.82746081586229,49.00000000000007,52.00000000001396,63.00000000161919,75.00000011415429,79.00000489925772,83.0001283074427,112.56816726430193,114.4542514266469,142.12564041832903,164.4914659971654,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,37.0,40.17253918413771,42.0,43.82746081586229,49.0,52.00000000000007,63.00000000001396,75.00000000161918,79.00000011415429,83.00000489925772,112.56624148595839,114.43594524706293,142.02036938867477,164.12564041832903,201.4914659971654,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,40.17253918413771,42.0,43.82746081586229,49.0,52.0,63.00000000000007,75.00000000001396,79.00000000161918,83.00000011415429,112.56611818711202,114.43401501640571,142.00205864743853,164.02036938867477,201.12564041832903,222.4914659971654,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,42.0,43.82746081586229,49.0,52.0,63.0,75.00000000000007,79.00000000001396,83.00000000161918,112.56611340358612,114.43389160979827,142.00012830744268,164.00205864743853,201.02036938867477,222.12564041832903,244.4914659971654,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,43.82746081586229,49.0,52.0,63.0,75.0,79.00000000000007,83.00000000001396,112.56611329106475,114.43388682470858,142.00000489925773,164.00012830744268,201.00205864743853,222.02036938867477,244.12564041832903,247.4914659971654,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,49.0,52.0,63.0,75.0,79.0,83.00000000000007,112.5661132894596,114.43388671217355,142.0000001141543,164.00000489925773,201.00012830744268,222.00205864743853,244.02036938867477,247.12564041832903,280.4914659971654,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,52.0,63.0,75.0,79.0,83.0,112.56611328944571,114.43388671056832,142.00000000161918,164.0000001141543,201.00000489925773,222.00012830744268,244.00205864743853,247.02036938867477,280.12564041832906,297.4914659971654,300.80339330974994,304.1464405378917,324.541506026953,345.0024787521389,373.0000001125352,401.0
