data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36
11/04/2020,44.556767108483925,52.10684611451671,52.73899003045329,53.15819576454254,59.58141781364357,64.53968481855736,71.10408438905606,75.25365559452834,75.12802462976146,71.34856325278945,65.12861866692187,63.391743738937365,63.44434494145283,,,,,,,,,,,,,,,,,
12/04/2020,48.73868387659075,58.04488539113682,58.855896996045615,58.74045226545484,66.17283887951082,72.04739289317024,79.28402206976864,84.52442599669766,84.98784573380858,80.54189763476943,73.23889859079647,71.1991271165679,70.7955840356658,76.11237267738936,,,,,,,,,,,,,,,,
13/04/2020,,64.66679292066422,65.6822705404273,64.95599353475873,73.54433146344826,80.47347061601084,88.48667334373947,94.9925339712052,96.14167227301662,90.91980243002386,82.3591283921588,79.96807475493765,79.03596840358061,84.58216950241031,81.19032736639276,,,,,,,,,,,,,,,
14/04/2020,,,73.30039781121239,71.8766632073376,81.7882142881142,89.93025624029892,98.83990508901348,106.81261793534993,108.75932985056396,102.63491073180298,92.61507423008247,89.81701376115912,88.27304172696495,94.08507956687335,91.27602186563105,89.9840837962314,,,,,,,,,,,,,,
15/04/2020,,,,79.58245529233119,91.00773167254614,100.5438296353462,110.48757100400137,120.15928815117786,123.03293202508208,115.85952256146363,104.14816356240524,100.87895682988344,98.62735528469155,104.74711805007507,102.61459015946463,101.09393581707532,116.20355932379782,,,,,,,,,,,,,
16/04/2020,,,,,101.31834653809493,112.4556932100834,123.59151039269508,135.22970612709267,139.17980538761086,130.78813897200428,117.11743540230658,113.30329861719682,110.23404124444313,116.70967097819204,115.36166781124533,113.57546165753106,127.9660169107305,118.21100884900946,,,,,,,,,,,,
17/04/2020,,,,,,125.82465845315261,138.33379685213097,152.24649715407367,157.4457985263991,147.6403226733978,131.70173343473866,127.25783335751912,123.24457624681105,130.1313701010625,129.69222387879535,127.59801452445313,141.15508065488606,133.09549464765996,144.27830862332948,,,,,,,,,,,
18/04/2020,,,,,,,154.91926810664447,171.4610390014682,178.10902526108924,166.66392725238563,148.1021722353506,142.93102097198914,137.8287582979866,145.19019645922663,145.8029625763435,143.35185675648944,155.9437760581874,149.85415375425688,160.59285159260295,166.06708527858618,,,,,,,,,,
19/04/2020,,,,,,,,193.15717535407967,201.48409913991014,188.13874248050118,166.54491060057612,160.5345322727681,154.176922771094,162.08584053598355,163.915023277771,161.05074136239693,172.52611396890842,168.72297185454937,178.9452741804526,185.63852534328754,205.3273995804335,,,,,,,,,
20/04/2020,,,,,,,,,227.92692367336173,212.38060932371118,187.28427023255554,180.30610763696257,172.50242643677467,181.0423502917181,184.27701592197656,180.9348122880418,191.1196357831417,189.96764866534366,199.5901316844206,207.70267571339517,228.51192210107257,223.31757692514068,,,,,,,,
21/04/2020,,,,,,,,,,239.74606517520238,210.60624278493898,202.51276775736267,193.0444319416313,202.31110219526994,207.1684334849712,203.27386276380494,211.9682673402667,213.88733936330547,222.81377637323243,232.57701965259002,254.6932838707382,251.89543530804028,247.91030951169816,,,,,,,
22/04/2020,,,,,,,,,,,236.8324336310357,227.45441983208897,216.07102907422845,226.1741346502817,232.9034883590087,228.37099594265922,235.34551895227784,240.81886711408094,248.9383293050468,260.61947658053117,284.2588573477811,284.264603146,281.01426276039314,278.68809472658,,,,,,
23/04/2020,,,,,,,,,,,,255.46790789575422,241.8827335536949,252.94788802007156,261.83542529769613,256.56673749758903,261.5580735477143,271.14146602011914,278.3261482728407,292.23355221113815,317.6460868859788,320.92805820563325,318.5386522662582,315.77729777376913,296.97804530922133,,,,,
24/04/2020,,,,,,,,,,,,,270.8164090029496,282.9874008463545,294.3613701274715,288.2436559793472,290.94981000255507,305.2821212746281,311.38485384908375,327.87414463661486,355.3489610447314,362.45550628952816,361.0737476130168,357.80251713706684,335.5448231771665,325.48751781485663,,,,
25/04/2020,,,,,,,,,,,,,,316.6910179065837,330.9277807798786,323.83155362499394,323.9063144396013,343.721581718605,348.5729832429121,368.05408990153853,397.92532151226936,409.49223377622104,409.28863824768143,405.42066251177965,379.12003981224916,367.23104150868954,350.392169306214,,,
26/04/2020,,,,,,,,,,,,,,,372.03657546664954,363.8132980477153,360.85993867945695,387.0011294662693,390.4063503910182,413.351541251933,446.0051167827555,462.7691345910207,463.9417584525672,459.3760684152066,428.3541114605467,414.3281399941947,394.46468819839305,367.1317390823533,,
27/04/2020,,,,,,,,,,,,,,,,408.73137393409297,402.29547220422626,435.7302019248253,437.46520049921094,464.4182882400773,500.2997227064905,523.1140674146959,525.8928177376043,520.5121291184341,483.9819200694915,467.4654051187744,444.08067264617364,411.94170762933436,401.4153820832632,
