data,yhat,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_43,yhat_model_39_to_43,yhat_model_40_to_43,yhat_model_41_to_43,yhat_model_42_to_43,yhat_model_43_to_43
08/04/2020,,,,,,,,,,320.4285714285714,350.3571428571428,422.89285714285717,476.8571428571429,489.32142857142844,501.1428571428571,486.5714285714285,473.42857142857133,471.57142857142844,497.2142857142857,564.2142857142857,575.8571428571428,563.1071428571429,571.5,572.2142857142857,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,365.82142857142856,442.35714285714283,499.5,512.9999999999999,525.7857142857142,510.28571428571416,495.92857142857133,493.57142857142844,521.6071428571429,595.5714285714286,608.7857142857142,595.0,604.3928571428571,605.1428571428571,614.2142857142858,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,461.8214285714285,522.1428571428571,536.6785714285713,550.4285714285713,533.9999999999998,518.4285714285713,515.5714285714284,546.0,626.9285714285713,641.7142857142856,626.8928571428571,637.2857142857142,638.0714285714284,648.4285714285716,670.5,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,544.7857142857143,560.3571428571428,575.0714285714284,557.7142857142856,540.9285714285713,537.5714285714284,570.3928571428571,658.2857142857142,674.6428571428571,658.7857142857142,670.1785714285713,671.0,682.6428571428571,707.8571428571429,723.7142857142856,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,584.0357142857141,599.7142857142857,581.4285714285713,563.4285714285713,559.5714285714284,594.7857142857142,689.6428571428571,707.5714285714284,690.6785714285713,703.0714285714284,703.9285714285713,716.8571428571429,745.2142857142858,764.8571428571427,744.7857142857142,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,624.3571428571428,605.1428571428571,585.9285714285713,581.5714285714284,619.1785714285713,721.0,740.5,722.5714285714284,735.9642857142856,736.8571428571429,751.0714285714287,782.5714285714284,805.9999999999998,783.5714285714284,738.1785714285714,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,628.8571428571427,608.4285714285713,603.5714285714284,643.5714285714284,752.3571428571429,773.4285714285713,754.4642857142856,768.8571428571427,769.7857142857142,785.2857142857142,819.9285714285713,847.1428571428569,822.3571428571427,768.9285714285714,733.0714285714286,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,630.9285714285712,625.5714285714283,667.9642857142858,783.7142857142858,806.3571428571427,786.3571428571429,801.75,802.7142857142856,819.5,857.2857142857142,888.2857142857142,861.1428571428571,799.6785714285714,757.5714285714286,735.1428571428571,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,647.5714285714283,692.3571428571429,815.0714285714287,839.2857142857142,818.25,834.6428571428571,835.6428571428571,853.7142857142858,894.6428571428571,929.4285714285713,899.9285714285713,830.4285714285714,782.0714285714286,754.5714285714286,761.6785714285714,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,716.75,846.4285714285713,872.2142857142856,850.1428571428571,867.5357142857142,868.5714285714284,887.9285714285713,932.0,970.5714285714284,938.7142857142856,861.1785714285714,806.5714285714286,773.9999999999999,780.9285714285714,812.3214285714286,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,877.7857142857142,905.1428571428571,882.0357142857142,900.4285714285713,901.5,922.1428571428571,969.3571428571429,1011.7142857142856,977.4999999999998,891.9285714285714,831.0714285714286,793.4285714285713,800.1785714285714,837.0714285714286,859.2500000000001,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,938.0714285714284,913.9285714285713,933.3214285714284,934.4285714285713,956.3571428571429,1006.7142857142856,1052.8571428571427,1016.285714285714,922.6785714285714,855.5714285714287,812.8571428571428,819.4285714285714,861.8214285714286,888.6428571428572,898.4999999999999,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,945.8214285714284,966.2142857142856,967.3571428571427,990.5714285714284,1044.0714285714284,1093.9999999999998,1055.0714285714284,953.4285714285714,880.0714285714287,832.2857142857142,838.6785714285714,886.5714285714286,918.0357142857143,930.2857142857143,926.6785714285714,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,999.1071428571427,1000.2857142857142,1024.7857142857142,1081.4285714285713,1135.1428571428569,1093.8571428571427,984.1785714285714,904.5714285714287,851.7142857142857,857.9285714285714,911.3214285714286,947.4285714285717,962.0714285714286,958.357142857143,949.0000000000001,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,1033.2142857142856,1059.0,1118.7857142857142,1176.285714285714,1132.6428571428569,1014.9285714285714,929.0714285714287,871.1428571428571,877.1785714285714,936.0714285714286,976.8214285714288,993.8571428571428,990.0357142857143,978.7142857142857,961.892857142857,959.5619047619047,960.8000000000002,958.4000000000001,957.3333333333334,934.0,904.0
