,,,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
,,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
AP,MAE,mlp,37.379865384800354,47.53392704528059,62.10759115523381,72.99902173949941,90.58321570178735,110.29499838143845,133.8389322184399,148.1276898818414,162.48722462990298,186.1448044771564,206.73190285751699,218.64036535507515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MAE,svr,38.75640007369372,49.1662611475937,64.46034522042048,76.09488375099856,93.91025780260271,114.70400936874066,138.2814424947424,153.30561261563182,168.45052500115102,193.18833891083924,214.60488721101814,226.6653477456661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MSLE,exponential-holt,5.012334688235432,3.9976885867449496,4.196894980099206,3.1178263639034327,2.494904953511025,2.303119561900845,2.4725343275216427,2.096195481935129,1.4064323030640509,1.1215970679760658,1.0552566679843378,0.7996315230661898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MSLE,gaussian-process,5.277175248083343,3.9745569852507097,5.464734624356903,3.647819820216378,4.16456228289374,4.360221398306523,5.302666820568487,3.7480911937943415,3.243719555485245,3.6131512539361834,3.400601469283252,2.6897354743219255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MSLE,linear-regression,4.094270912654263,3.373676763345665,3.731156722431312,2.919271559656628,2.8486882947254712,3.0805588845158813,3.6005916450341844,2.877540033961919,2.352562740084125,2.540116337641303,2.4858305640996967,1.9699470134322987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MSLE,mlp,3.6676434241726863,3.0652091884220387,3.630866022509343,2.857378256654468,3.009996323076587,3.2430116199893075,3.959507371492932,3.0665342782732457,2.5194108558961545,2.759853462892453,2.6893537505662746,2.1429129923353325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,MSLE,svr,5.444384492522817,4.193373035730331,5.382724367202624,3.990010720997939,4.082675703813778,4.559538350852377,5.442263166512031,3.972882586848719,3.173322292891755,3.5401446419145364,3.4194430974781977,2.6141835247605267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,RMSE,exponential-holt,64.50681666361095,80.4505807663262,99.14984795989113,113.2893632597926,131.37709698541582,149.19730355512957,169.42656656744126,183.43402890066983,183.4271021572916,179.555777921065,183.90252439210076,178.1336742137871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,RMSE,gaussian-process,62.690766346241205,78.08240660154814,97.88948446178078,111.89080633226477,135.20137605328216,157.59765547395864,182.15961511935032,196.48740706440915,212.1463220348467,233.79819631048625,250.27822714694668,259.5989485499589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,RMSE,linear-regression,61.85701803572582,77.17930300880651,95.56048230839122,109.6119061965572,130.53481459130234,152.3150099567936,175.69351383888863,190.14507324110446,202.4834311740099,221.93784029774312,237.83076808328323,244.6486486822752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
