data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39
27/03/2020,921.6797115231632,696.8883011551911,674.0590041014299,657.2775487729213,623.1894000173346,590.3676688595056,590.3676688595056,,,,,,,,,,,,,,,,,,,,,,,,,,
28/03/2020,1158.494833200717,874.1918490459163,844.3944495353516,822.4783954639313,777.976008118312,735.1492628939793,687.9769177649002,687.9769177649002,,,,,,,,,,,,,,,,,,,,,,,,,
29/03/2020,1456.1569076255269,1096.605277591157,1057.7738477903629,1029.201000806788,971.2082220764158,915.437052604205,854.0708154439831,800.7941502585426,800.7941502585426,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,1830.2998674299351,1375.6055220066635,1325.074452686092,1287.8814883206815,1212.435088982059,1139.9385670084403,1060.2637079205294,991.1633851954265,907.1478579093526,907.1478579093526,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,2300.5746064664772,1725.5894995616832,1659.9222119446154,1611.5790080449701,1513.5774302364505,1419.4967669886157,1316.2364408260491,1226.788252430266,1118.2504509410767,990.6814490384995,990.6814490384995,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,2891.681092317508,2164.6170165512876,2079.386365137205,2016.6350108485387,1889.5169383827333,1767.6137379745421,1634.0070448665028,1518.4271723315983,1378.4787784340187,1214.5543845705101,1068.8116512948134,1068.8116512948134,,,,,,,,,,,,,,,,,,,,,
02/04/2020,3634.6656683782803,2715.34268696789,2604.849567289715,2523.4982254538054,2358.831592697251,2201.1028128684648,2028.4949875705656,1879.3961167361203,1699.2649016987261,1489.0178417201028,1302.8116897397447,1131.1860103025829,1131.1860103025829,,,,,,,,,,,,,,,,,,,,
03/04/2020,4568.5516829589515,3406.1849515610634,3263.097893671965,3157.756986074057,2944.713735918682,2740.9006214044516,2518.221648753714,2326.1766042944946,2094.701239743019,1825.5042023044762,1588.0424739628445,1370.140066336172,1193.019951117356,1263.238964850456,,,,,,,,,,,,,,,,,,,
04/04/2020,,4272.792520783672,4087.686289986107,3951.4310263904904,3676.1161811440525,3413.078286254613,3126.179907324653,2879.168231849028,2582.1596617422965,2238.0293232629515,1935.720195766599,1659.5712679274843,1436.0878306741663,1511.849929671971,1372.1740939349281,,,,,,,,,,,,,,,,,,
05/04/2020,,,5120.6490733066985,4944.587954418106,4589.182986594496,4250.100604571962,3880.913666911371,3563.6201017518247,3183.054648665352,2743.776347083648,2359.516661382666,2010.1425109735346,1728.678766418687,1809.3886219854903,1634.968644418006,1486.595431581285,,,,,,,,,,,,,,,,,
06/04/2020,,,,6187.366013904584,5729.035603519489,5292.394030845691,4817.85800450266,4410.783673260392,3923.7840504230135,3363.8114409688487,2876.0969108645318,2434.76914339996,2080.882668620604,2165.4842330024735,1948.09279671244,1763.6172862424683,1595.8122311813638,,,,,,,,,,,,,,,,
07/04/2020,,,,,7152.002664149613,6590.299191412202,5981.002862664414,5459.339676172729,4836.888766835837,4123.961277827854,3505.774541060959,2949.0947777536076,2504.8451827381678,2591.661020967731,2321.185520933224,2092.2611937699735,1884.5711403412092,1727.1887729571765,,,,,,,,,,,,,,,
08/04/2020,,,,,,8206.502233052392,7424.958396401026,6757.164238300256,5962.482298234656,5055.88880931006,4273.310501577212,3572.067615424398,3015.1865283426773,3101.7112686573087,2765.7318130237695,2482.1467430059606,2225.580374439007,2031.577658084937,1833.5024366989858,,,,,,,,,,,,,,
09/04/2020,,,,,,,9217.518943591811,8363.514866576925,7350.01296712024,6198.412140661648,5208.886774950353,4326.638514779465,3629.505672985734,3712.141640546562,3295.416239929148,2944.6860994987487,2628.2945212624186,2389.6101256861334,2146.569973307979,1944.91022480437,,,,,,,,,,,,,
10/04/2020,,,,,,,,10351.736091743798,9060.43622684305,7599.121443247216,6349.293229274708,5240.606520643634,4368.98722729318,4442.7073850252045,3926.54419465053,3493.4180458968663,3103.8789566246514,2810.739983311513,2513.0932787867873,2266.7703495610963,2027.512274590007,,,,,,,,,,,,
11/04/2020,,,,,,,,,11168.892488750756,9316.36125490931,7739.3743141398745,6347.643005163895,5259.131989880205,5317.051669949585,4678.543828768429,4144.4042696011875,3665.519407904833,3306.0871180890176,2942.1998380749674,2641.8945985880496,2351.107554580197,2101.7931934959643,,,,,,,,,,,
12/04/2020,,,,,,,,,,11421.660738045368,9433.792488618501,7688.53215029346,6330.636334708904,6363.470742233743,5574.564113534776,4916.699497233784,4328.787532468135,3888.7311161086354,3444.5756392088115,3079.0975677797,2726.349330892143,2424.8770391328276,2162.219317285293,,,,,,,,,,
13/04/2020,,,,,,,,,,,11499.17772496388,9312.673472343437,7620.450766296414,7615.829674201534,6642.187439780828,5832.909237019289,5112.072646741821,4574.056627440736,4032.731285171279,3588.652566598934,3161.4804944060656,2797.624748766643,2481.6608215716747,2215.896990436293,,,,,,,,,
14/04/2020,,,,,,,,,,,,11279.901742906666,9173.054146731025,9114.658332834391,7914.278692761682,6919.851454506574,6037.091575771001,5380.159596112851,4721.313543904249,4182.5330182841835,3666.0595189536375,3227.6705616836425,2848.2959078619683,2530.2355114830484,2249.966522589806,,,,,,,,
15/04/2020,,,,,,,,,,,,,11041.987535831058,10908.463040570488,9429.996939196333,8209.341549244888,7129.490758992705,6328.3250815023375,5527.47009497484,4874.693808995991,4251.170431160763,3723.822238615813,3269.0968516822845,2889.164871472369,2555.5179072020183,2368.330496178166,,,,,,,
16/04/2020,,,,,,,,,,,,,,13055.29637669792,11236.000869489471,9739.123609115682,8419.557305799339,7443.589287965715,6471.276556137318,5681.399196989983,4929.666291924744,4296.241453333561,3752.0659971389914,3299.01055323398,2902.563975268887,2680.542034853113,2506.7562556574553,,,,,,
17/04/2020,,,,,,,,,,,,,,,13387.885102529792,11553.975200649193,9943.058715129695,8755.400643034662,7576.236423980706,6621.6049869615445,5716.451538054098,4956.651913707515,4306.3879369747165,3766.995347968066,3296.7398141823014,3033.911699490242,2828.431029689411,2700.885488752054,,,,,
18/04/2020,,,,,,,,,,,,,,,,13707.018033149074,11742.234540576066,10298.397379875003,8869.866378622737,7717.403949819882,6628.80938623582,5718.579474763257,4942.604175369567,4301.366643917679,3744.44577105589,3433.865270763478,3191.3841130962724,3040.9141417926353,2870.5902358831486,,,,
19/04/2020,,,,,,,,,,,,,,,,,13866.967495233095,12113.3221559872,10384.381528221224,8994.544954277775,7686.781491373551,6597.629161480254,5672.813595038663,4911.541771716698,4252.951377012435,3886.54379747991,3600.9124671644145,3423.750787015816,3223.3416220549657,3150.558081771496,,,
20/04/2020,,,,,,,,,,,,,,,,,,14248.097858553536,12157.497657862825,10483.038008709127,8913.60819920565,7611.804775034045,6510.902540895716,5608.273967863058,4830.513384663459,4398.897888725582,4062.992775758346,3854.7847472869444,3619.440727762189,3533.905397090682,3481.790224284609,,
21/04/2020,,,,,,,,,,,,,,,,,,,14233.370461135015,12217.859430428995,10336.239064179365,8781.87762833152,7472.808895768655,6403.841881124221,5486.509835389686,4978.79443632705,4584.36866944002,4340.083835619263,4064.2143209852707,3963.8968815850635,3902.6961217454123,3799.373890365321,
22/04/2020,,,,,,,,,,,,,,,,,,,,14239.773712325255,11985.924847065695,10131.811962905304,8576.825170077995,7312.265961583629,6231.592333311573,5635.137406288534,5172.649142458937,4886.479773860499,4563.643747556087,4446.208011333643,4374.484399563776,4253.296428385454,4068.3101615390865
