data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53,yhat_model_1_to_54,yhat_model_1_to_55,yhat_model_1_to_56,yhat_model_1_to_57,yhat_model_1_to_58,yhat_model_1_to_59,yhat_model_1_to_60,yhat_model_1_to_61
30/03/2020,,,,,,,,,,,,,206.36367279473578,223.4242417212741,306.6237062987057,361.51191504665275,491.8485620831906,563.3092040235591,764.9430316452732,899.4439904643993,972.2733938864973,1030.3441309744903,1254.6755703241242,1454.5654966384604,1668.7849482947183,1719.4014653940196,1791.0232948075309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,,,,,,,,226.55396474071523,309.19351428628636,364.54166488012225,495.27327984401575,566.7308102022766,768.1031878405466,903.7521377724382,976.2840505849387,1033.832558495958,1257.9364930496356,1458.2443356314077,1672.6687273821092,1723.0664649357964,1795.1270205274323,2780.0939812547754,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,,,,,,,,311.76332227386706,367.5714147135917,498.6979976048409,570.152416380994,771.2633440358202,908.0602850804771,980.2947072833801,1037.3209860174256,1261.197415775147,1461.923174624355,1676.5525064695,1726.7314644775731,1799.2307462473336,2783.7232635596647,3555.9114167124353,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,370.6011645470612,502.12271536566607,573.5740225597116,774.4235002310937,912.367554413534,984.3053639818215,1040.809413538893,1264.4583385006583,1465.6020136173024,1680.4362855568909,1730.3964640193499,1803.334471967235,2787.3525458645545,3558.722568277002,4175.569593558106,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,505.5473412542891,576.995628738429,777.5836564263672,916.6745234898574,988.316020680263,1044.2978410603607,1267.7192612261697,1469.2808526102497,1684.3200646442817,1734.0614635611266,1807.4381976871364,2790.981828169444,3561.5337198415687,4179.636969996431,4829.5922537739925,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,,,,,,,,580.4172349171465,780.7438126216407,920.981492566181,992.3266773787044,1047.7862685818282,1270.9801839516808,1472.959691603197,1688.2038437316726,1737.7264631029034,1811.5419234070378,2794.611110474333,3564.344871406135,4183.704346434754,4833.1186294782765,5320.842152625993,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,,,,,,,,783.9039688169141,925.2884616425044,996.3373340771459,1051.2746961032958,1274.2411066771922,1476.6385305961442,1692.0876228190632,1741.3914626446801,1815.6456491269391,2798.2403927792225,3567.1560229707015,4187.771722873079,4836.64500518256,5325.553056231793,5503.575057157232,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,,,,,,,,,929.5954307188281,1000.3479907755873,1054.7631236247635,1277.5020294027036,1480.3173695890914,1695.971401906454,1745.0564621864569,1819.7493748468405,2801.869675084112,3569.967174535268,4191.839099311403,4840.171380886844,5330.263959837593,5508.411026473902,5809.346756110461,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,,,,,,,,1004.3586474740288,1058.2515511462311,1280.762952128215,1483.996208582039,1699.855180993845,1748.7214617282336,1823.853100566742,2805.498957389001,3572.7781079649912,4195.906475749727,4843.697756591128,5334.974863443393,5513.246995790572,5812.831866170595,6785.9882533495565,,,,,,,,,,,,,,,,,,,,
08/04/2020,,,,,,,,,,,,,,,,,,,,,,1061.7399786676986,1284.0238748537263,1487.6750475749861,1703.7389600812357,1752.3864612700104,1827.9568262866433,2809.1282396938905,3575.5883927218415,4199.973852188051,4847.224132295412,5339.685767049192,5518.082965107243,5816.316976230729,6789.6894157209645,8015.063351880523,,,,,,,,,,,,,,,,,,,
