data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61,yhat_model_61_to_61
13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.0,1223.0,1406.0,1451.0,1517.0,2339.0,2981.000000000014,3506.0000000016194,4048.0000001141543,4466.000004899258,4620.0001283074425,4866.002058647438,5682.020369388675,6708.125640418329,7480.4914659971655,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.0,1406.0,1451.0,1517.0,2339.0,2981.0,3506.000000000014,4048.0000000016194,4466.000000114154,4620.000004899258,4866.0001283074425,5682.002058647438,6708.020369388675,7480.125640418329,8216.491465997166,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406.0,1451.0,1517.0,2339.0,2981.0,3506.0,4048.000000000014,4466.000000001619,4620.000000114154,4866.000004899258,5682.0001283074425,6708.002058647438,7480.020369388675,8216.12564041833,8419.491465997166,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451.0,1517.0,2339.0,2981.0,3506.0,4048.0,4466.000000000014,4620.000000001619,4866.000000114154,5682.000004899258,6708.0001283074425,7480.002058647438,8216.020369388674,8419.12564041833,8755.491465997166,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.0,2339.0,2981.0,3506.0,4048.0,4466.0,4620.000000000014,4866.000000001619,5682.000000114154,6708.000004899258,7480.0001283074425,8216.002058647438,8419.020369388674,8755.12564041833,8895.491465997166,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2339.0,2981.0,3506.0,4048.0,4466.0,4620.0,4866.000000000014,5682.000000001619,6708.000000114154,7480.000004899258,8216.000128307443,8419.002058647438,8755.020369388674,8895.12564041833,9371.491465997166,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981.0,3506.0,4048.0,4466.0,4620.0,4866.0,5682.000000000014,6708.000000001619,7480.000000114154,8216.000004899257,8419.000128307443,8755.002058647438,8895.020369388674,9371.12564041833,11043.491465997166,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3506.0,4048.0,4466.0,4620.0,4866.0,5682.0,6708.000000000014,7480.000000001619,8216.000000114154,8419.000004899257,8755.000128307443,8895.002058647438,9371.020369388674,11043.12564041833,11568.491465997166,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048.0,4466.0,4620.0,4866.0,5682.0,6708.0,7480.000000000014,8216.000000001619,8419.000000114154,8755.000004899257,8895.000128307443,9371.002058647438,11043.020369388674,11568.12564041833,12841.491465997166,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4466.0,4620.0,4866.0,5682.0,6708.0,7480.0,8216.000000000015,8419.000000001619,8755.000000114154,8895.000004899257,9371.000128307443,11043.002058647438,11568.020369388674,12841.12564041833,13894.491465997166,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620.0,4866.0,5682.0,6708.0,7480.0,8216.0,8419.000000000015,8755.000000001619,8895.000000114154,9371.000004899257,11043.000128307443,11568.002058647438,12841.020369388674,13894.12564041833,14267.491465997166,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4866.0,5682.0,6708.0,7480.0,8216.0,8419.0,8755.000000000015,8895.000000001619,9371.000000114154,11043.000004899257,11568.000128307443,12841.002058647438,13894.020369388674,14267.12564041833,14580.491465997166,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5682.0,6708.0,7480.0,8216.0,8419.0,8755.0,8895.000000000015,9371.000000001619,11043.000000114154,11568.000004899257,12841.000128307443,13894.002058647438,14267.020369388674,14580.12564041833,15385.491465997166,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6708.0,7480.0,8216.0,8419.0,8755.0,8895.0,9371.000000000015,11043.000000001619,11568.000000114154,12841.000004899257,13894.000128307443,14267.002058647438,14580.020369388674,15385.12564041833,15914.491465997166,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7480.0,8216.0,8419.0,8755.0,8895.0,9371.0,11043.000000000015,11568.000000001619,12841.000000114154,13894.000004899257,14267.000128307443,14580.002058647438,15385.020369388674,15914.12564041833,16740.491465997166,17283.30339330975,17826.14644053789,18915.04150602695,20004.00247875214,20359.500000112534,20715.0
