data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61
29/03/2020,,,,,,,,,,,,139.2729599818732,1604.2893376082316,26580.73656164818,6272.446706558395,3914.430276833691,1326.1931949184511,122744.98633742651,1059.649579705089,1076.694714711863,4747.213520886675,1700.572916701891,2544.5064060287823,1404.9049356245666,1889.4364996954707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/03/2020,,,,,,,,,,,,,1977.347830036733,40379.7437268903,8614.558807072515,5172.398293507637,1581.4258666419084,231757.09737145557,1207.1352848487127,1205.5897780588884,6668.319139563476,2030.7114975421475,3386.7239810160654,1625.181931547201,2483.5303511195957,1655.8598448575967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/2020,,,,,,,,,,,,,,61342.30703756816,11831.208284785731,6834.635493449456,1885.7793730708254,437584.8968233179,1375.148562161775,1349.915340997137,9366.859095641272,2424.9411158726384,4507.710924371541,1879.996463570902,3264.4246080386056,1927.4307171170328,1587.2302148788185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2020,,,,,,,,,,,,,,,16248.9446775918,9031.060579180843,2248.7072703893223,826212.20277441,1566.5465103628346,1511.5186450846018,13157.446049191514,2895.704004516078,5999.7383582474295,2174.7637199450655,4290.854757125871,2243.540829148959,1733.6844301951312,1639.8667917935245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,,,,,,,11933.343813727024,2681.4825000802894,1559986.6653737929,1784.5838890833045,1692.4680719242494,18482.010327020234,3457.85785348977,7985.618636901433,2515.7479438050696,5640.024432303259,2611.494881428087,1893.652020561171,1761.4210093842887,2638.976564418307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/04/2020,,,,,,,,,,,,,,,,,3197.5475389431017,2945439.909955563,2032.968466693058,1895.079616647838,25961.32292323341,4129.144731745143,10628.814325939247,2910.1955576669757,7413.412337984796,3039.7955887934913,2068.379869208262,1891.9853660229583,3162.1499274032517,3146.8264983817426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/04/2020,,,,,,,,,,,,,,,,,,5561340.013813674,2315.92407162844,2121.9465306373327,36467.36886295577,4930.751042438453,14146.893197885853,3366.489160696629,9744.40503807203,3538.3401619364126,2259.229909663219,2032.2277332755864,3789.0416679696614,3650.668375068548,3809.958758519282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/04/2020,,,,,,,,,,,,,,,,,,,2638.2624194228806,2375.972512884951,51225.00866844287,5887.976184412535,18829.436757020736,3894.3256714244485,12808.329716058252,4118.649013021755,2467.689741474153,2182.865488318112,4540.213807445906,4235.180932783947,4396.056271646171,3921.3753968868255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020,,,,,,,,,,,,,,,,,,,,2660.4088748123454,71954.7802569205,7031.0310234329645,25061.87638708038,4504.922401703864,16835.641527039752,4794.13197039305,2695.384225452524,2344.669183512275,5440.30475874078,4913.280443633807,5072.314943112482,4199.213745676245,4584.603670691474,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2020,,,,,,,,,,,,,,,,,,,,,101073.490008237,8395.991373631745,33357.219132277285,5211.25544129188,22129.257437183885,5580.398154073865,2944.088148811716,2518.4664879868055,6518.8374651957865,5699.951218359416,5852.604537404567,4496.737572198634,4970.508500030653,9916.348249133105,,,,,,,,,,,,,,,,,,,,,,,,,,
