data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_53,yhat_model_49_to_53,yhat_model_50_to_53,yhat_model_51_to_53,yhat_model_52_to_53,yhat_model_53_to_53
08/04/2020,,,,,,,,,,,,,,9.005508582256116e-54,4.776330546151811e-47,1.134723467154492e-40,9.856359585141108e-35,2.8348974826174265e-29,2.9609185271773005e-24,1.2193525844137635e-19,1.6881105280184229e-15,1.0923659851281221e-11,2.2332707121690383e-08,1.4916426549827485e-05,0.004793633964306454,0.43059377203415505,14.940326893302181,230.99511790592229,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,8.86196238976285e-54,5.72295150608671e-47,1.3512667270068883e-40,1.0564680436165392e-34,2.9994386803178333e-29,3.357669292418655e-24,1.2635822061024292e-19,2.2226809644162093e-15,1.2352264061264033e-11,2.2425532151264068e-08,1.960134843801589e-05,0.004782495086275198,0.45127483157064424,19.130840966172272,248.8205148090212,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,1.061831494519512e-53,6.81508243810459e-47,1.4483745011956584e-40,1.1177868355935787e-34,3.401352367627214e-29,3.479457335630485e-24,1.6637343710097943e-19,2.5133244543977343e-15,1.2403129584213697e-11,2.9475469769727286e-08,1.95435962766078e-05,0.005013937464082047,0.5797872209010292,20.436661177696475,294.5565439529681,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,1.2644645285969594e-53,7.304843011262933e-47,1.532440053369437e-40,1.2675663259610921e-34,3.5247230696774085e-29,4.581350942910086e-24,1.8812774527486595e-19,2.5236384645593573e-15,1.630365141524891e-11,2.9381870217410716e-08,2.0492049070544424e-05,0.006449681675814572,0.6174316142494514,24.319361503129745,313.1540630459121,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,1.3553342675632652e-53,7.728825653382458e-47,1.737781706804428e-40,1.3135420711959163e-34,4.640957803106825e-29,5.180378343259431e-24,1.8889878991846564e-19,3.3173694688146905e-15,1.6250504308246954e-11,3.08092599154719e-08,2.6371813863781285e-05,0.0068605060883459405,0.7361975935768871,25.71051505679337,324.64934603387593,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,1.433999640410708e-53,8.764461668599293e-47,1.8008124531693345e-40,1.729524891613502e-34,5.247774810661263e-29,5.201600269142881e-24,2.4831371199511937e-19,3.306452501256099e-15,1.70402667468304e-11,3.965588552664737e-08,2.8039650177214212e-05,0.008186221897312225,0.7766769223958274,26.624725130510527,373.76129320931835,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,1.6261506648400918e-53,9.082355543208064e-47,2.3711083089968316e-40,1.9556640841510417e-34,5.269269128664968e-29,6.8377036537096e-24,2.4749371471843185e-19,3.4671663167611803e-15,2.193457231229952e-11,4.215722492389017e-08,3.346716396532411e-05,0.008629614838850747,0.8040068768390374,30.824746517141037,421.8970876854388,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,1.6851324046472165e-53,1.1958630156638809e-46,2.681135657758291e-40,1.9636737648931776e-34,6.926667379150163e-29,6.815095047035356e-24,2.5952404777323633e-19,4.4631056362935655e-15,2.3316771978680804e-11,5.0322496181385056e-08,3.526972811719469e-05,0.008932167079926718,0.9327675093300225,34.74598377246084,416.33430953700474,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,2.2187939663271742e-53,1.3522245412921683e-46,2.6921163471032823e-40,2.581330009159554e-34,6.903753918659753e-29,7.146373882754293e-24,3.3407476325612883e-19,4.744245815195503e-15,2.7833942427204423e-11,5.302729320326501e-08,3.650464378491944e-05,0.010370545891579305,1.0508320231581543,34.0498939817076,496.0423383634811,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,2.5089057610379854e-53,1.357762578938323e-46,3.53889849328243e-40,2.572789486050625e-34,7.239344782736143e-29,9.199264602472007e-24,3.5511603889000237e-19,5.663428480617502e-15,2.9328855126745346e-11,5.488306712431215e-08,4.2395010251232903e-05,0.01168068694696107,1.0271561899554886,40.977245682379476,477.9195755192709,,,,,,,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,2.519180955927559e-53,1.784835306029057e-46,3.5271890435836717e-40,2.6978528775693514e-34,9.318952999160235e-29,9.778640474772326e-24,4.239207841385572e-19,5.9675159590147935e-15,3.035508303652687e-11,6.37455442937079e-08,4.7747084912781954e-05,0.011406825830262257,1.2407607537591652,39.03365175797855,581.4713094342013,,,,,,,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,3.3115680943693995e-53,1.7789295347845495e-46,3.698645995786697e-40,3.472852200493259e-34,9.905856435988036e-29,1.1673301557465852e-23,4.466800861471641e-19,6.176308047933565e-15,3.5258138367295057e-11,7.179085922078335e-08,4.661157421809593e-05,0.013798026966380323,1.1768715228188256,48.0891300301479,543.0851741026593,,,,,,,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,3.3006104834521786e-53,1.8654034774019615e-46,4.761139099511619e-40,3.691569419988127e-34,1.182517430624518e-28,1.2299989615663214e-23,4.62308202950069e-19,7.174026367561327e-15,3.9707631176567434e-11,7.007467186394826e-08,5.641145392697513e-05,0.013066838413702654,1.4567278046584435,44.279890940277525,613.5014219380707,,,,,,,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4610535098406363e-53,2.4012695280629987e-46,5.060990785137311e-40,4.406833782731724e-34,1.2460006861149745e-28,1.2730328885972615e-23,5.369920441218787e-19,8.079339059077163e-15,3.8756600347851664e-11,8.482347782894832e-08,5.339090297709918e-05,0.016202290089805952,1.3341834564492294,50.56168434552684,593.8138230566818,,,,,,,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.455294845473767e-53,2.5524988998109968e-46,6.0415895473521035e-40,4.643412718393674e-34,1.2895943237155584e-28,1.4786885052910937e-23,6.04755850267757e-19,7.885697059049538e-15,4.691704580361632e-11,8.02643478410864e-08,6.624485958456536e-05,0.01480992425115464,1.5297064646764444,48.53771407425331,699.669634064532,,,,,,,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.735884430258987e-53,3.0470617019812406e-46,6.365929013996354e-40,4.8058709035324935e-34,1.49792644512209e-28,1.665285454830787e-23,5.902576112528523e-19,9.546322531050552e-15,4.439181536224391e-11,9.961169902875452e-08,6.0507769255110046e-05,0.01700620050412845,1.4638997493408055,57.78180419547692,673.4498917048676,,,,,,,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.653492055755282e-53,3.2106414472048444e-46,6.588652446922459e-40,5.5822539134353264e-34,1.6869507107098937e-28,1.6253586222499235e-23,7.1456488157595485e-19,9.032244987382252e-15,5.509705475324047e-11,9.096040816832424e-08,6.952006518124948e-05,0.01625575548330327,1.749422756966049,55.02548532864431,831.4641837312674,,,,,,,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.956996429342275e-53,3.3229714729033248e-46,7.653042519571558e-40,6.286681530783278e-34,1.6465030282320634e-28,1.9676632061882695e-23,6.760777181301035e-19,1.121076113738801e-14,5.030688358889018e-11,1.0453014327348406e-07,6.642387043692757e-05,0.01945400619152164,1.659297455125971,68.81326138578135,727.2037646309034,,,,,,,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.165412577116017e-53,3.859794253679468e-46,8.618783830334677e-40,6.135945089717202e-34,1.9932631975269501e-28,1.861675606916438e-23,8.391529617366864e-19,1.0235717727737604e-14,5.781622490873668e-11,9.985897163917675e-08,7.953422374277653e-05,0.0184243643769003,2.0850451685299705,59.06520436351469,926.5188425488278,,,,,,,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16142902036177e-53,4.346863601928055e-46,8.412129349869849e-40,7.428203294829155e-34,1.8858939289728118e-28,2.310736370435694e-23,7.661582980469222e-19,1.1763940606215196e-14,5.5229368338000975e-11,1.1959165828212643e-07,7.528340197038186e-05,0.023192858783507058,1.7771297780174236,76.80889392606099,842.1851938917198,821.3705752659133,864.0217652848761,798.4399788563312,921.9482672700353,679.9834457347511,962.369198999316
