data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38,yhat_model_1_to_39,yhat_model_1_to_40,yhat_model_1_to_41,yhat_model_1_to_42,yhat_model_1_to_43,yhat_model_1_to_44,yhat_model_1_to_45,yhat_model_1_to_46,yhat_model_1_to_47,yhat_model_1_to_48,yhat_model_1_to_49,yhat_model_1_to_50,yhat_model_1_to_51,yhat_model_1_to_52,yhat_model_1_to_53
09/04/2020,,,,,,,,,,,,,,,495.79037554756513,581.2009729163013,658.2306584838316,708.1777442457927,776.1481108046979,836.0161941911778,983.5867586577974,1173.6783842939326,1270.321571254282,1472.7073436940946,1646.4414690685198,1726.4941910974726,1998.6509628887068,2292.773191334878,2620.5362492902336,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,581.1972382220531,658.2190337711494,708.148356769038,776.0854220721743,835.8999108140414,983.3946305095034,1173.3900016256955,1269.9222842959089,1472.1905411400062,1645.8102347466584,1725.7596940091203,1997.8325926971447,2291.8938036771774,2619.6235505997465,2913.3859372163815,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,658.2130198741621,708.1316272229762,776.0466561518544,835.822635964268,983.2586584026515,1173.1743143666333,1269.608690441325,1471.7666682420993,1645.271941874993,1725.1109931080514,1997.0861028688375,2291.0674276614855,2618.741067481387,2912.4714463469654,3080.236689477541,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,708.1224931400097,776.0235894254088,835.7730817526556,983.1655640960727,1173.0179068788655,1269.3694388691283,1471.4283965281797,1644.8247029604252,1724.5522019383684,1996.4215373940685,2290.3092719562446,2617.9081930031825,2911.5850566796285,3079.3219921365526,3370.5863932496427,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,776.0103823989365,835.7424156647792,983.1038996056008,1172.9079285904115,1269.1920975288754,1471.165666351734,1644.4625446199827,1724.0825079200533,1995.8437124886148,2289.629518303346,2617.1398520564903,2910.7454066820897,3078.433121037734,3369.6701961039407,3814.5371311833355,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,835.724101795714,983.0643810087837,1172.8329395379287,1269.0643728518753,1470.9670422424588,1644.1766583679585,1723.6971329378712,1995.3527957852598,2289.0335119145675,2616.446354145849,2909.967055365793,3077.588048635584,3368.778035804048,3813.6208785367517,4022.786851228826,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,983.0398772744361,1172.7833549611776,1268.9749853313454,1470.8208669036133,1643.9566241539987,1723.3884219003633,1994.9451191734008,2288.5222314475136,2615.8335233495986,2909.260324602069,3076.8010130769076,3367.9271945353435,3812.7267244781174,4021.869334234168,4415.837576111276,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,1172.751559595654,1268.9141949999748,1470.7161384347962,1643.7914909959584,1723.1469384679563,1994.6141258807613,2288.0929748161225,2615.303077885197,2908.6313829223855,3076.082351624765,3367.131530801906,3811.871337558395,4020.9723926045385,4414.920116407128,4651.887312462929,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,1268.8740196380215,1470.6430879890888,1643.6706383918427,1722.962464745502,1994.3513493894354,2287.740179956765,2614.8532087230933,2908.082550730074,3075.4385464037305,3366.4013109751536,3811.0682403723563,4020.1120662358535,4414.02157130825,4650.968779855095,5132.738025319455,,,,,,,,,,
18/04/2020,,,,,,,,,,,,,,,,,,,,,,,,1470.5934789107996,1643.5843850070169,1722.824831036382,1994.1473329034889,2287.456294432146,2614.4792910350325,2907.6127872473176,3074.872467728977,3365.7432266373607,3810.327639253502,4019.301499518928,4413.157418246408,4650.0678582163355,5131.819634227142,5358.287777754774,,,,,,,,,
19/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,1643.5243494143037,1722.7245359614935,1993.9924196931509,2287.232614094665,2614.174655910529,2907.218305362228,3074.383783574333,3365.160587309845,3809.6564179824377,4018.550773851307,4412.34046452132,4649.199453687088,5130.917423641868,5357.368470780019,5617.438479430938,,,,,,,,
20/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,1722.6531498793352,1993.87737170583,2287.0600265692683,2613.9313528583352,2906.8932536279503,3073.969491108181,3364.6536639380874,3809.058288155913,4017.866884317602,4411.580681879928,4648.376005940624,5130.045785599657,5356.464223063833,5616.519376644933,5771.688247565279,,,,,,,
21/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.793801217959,2286.929616391943,2613.7408446136833,2906.630405404843,3073.624519262649,3364.220147304348,3808.534076745123,4017.253855671856,4410.885168883464,4647.607327984379,5129.216830043173,5355.588907872944,5615.614095036149,5770.768358712935,6253.538938774787,,,,,,
22/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,2286.8331112366486,2613.594592055846,2906.4218026259246,3073.342350531884,3363.8556787388316,3808.082121504437,4016.7129824386643,4410.258237929246,4646.900558790484,5128.440228757804,5354.754283345814,5614.736038581853,5769.861322249296,6252.619300408584,6544.488722124045,,,,,
23/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613.484505503184,2906.259314032465,3073.1156151210184,3363.5544086957498,3807.6987384637396,4016.2431692817595,4409.701614984574,4646.260227032109,5127.7231597226955,5353.969842723048,5613.896648124757,5768.9800709895535,6251.711438047707,6543.568405800645,7284.2394034815925,,,,
24/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2906.135082604761,3072.9366198765565,3363.3095417326463,3807.378723339296,4015.841341790812,4409.214732500666,4645.688416688736,5127.07035111394,5353.242753626273,5613.105256706803,5768.135712543139,6250.827856250635,6542.659024901798,7283.319371423819,7410.489201504566,,,
25/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072.7977863325123,3363.1138332843757,3807.115850285638,4015.5028950792266,4408.795090470434,4645.185018649287,5126.484217763804,5352.577886400766,5612.369024466994,5767.337391247586,6249.979360581171,6541.772655717137,7282.409335102771,7409.56858212599,8059.939873548764,,
26/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3362.9600130204362,3806.903336385186,4015.2221481403926,4408.4386577001105,4644.748047423592,5125.965077086001,5351.9779260355235,5611.692953628062,5766.592220958204,6249.174924970128,6540.91979030694,7281.520979842258,7408.657226322721,8059.019562599243,8394.389685675827,
27/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3806.7342476424556,4014.992775395637,4408.140285218097,4644.373999149568,5125.5114269437045,5351.443557120163,5611.07997937041,5765.905289626067,6248.42162262762,6540.109210340708,7280.66451225671,7407.7664296632065,8058.107691723567,8393.468863863034,8389.24034888549
