data,yhat_model_1_to_7,yhat_model_1_to_8,yhat_model_1_to_9,yhat_model_1_to_10,yhat_model_1_to_11,yhat_model_1_to_12,yhat_model_1_to_13,yhat_model_1_to_14,yhat_model_1_to_15,yhat_model_1_to_16,yhat_model_1_to_17,yhat_model_1_to_18,yhat_model_1_to_19,yhat_model_1_to_20,yhat_model_1_to_21,yhat_model_1_to_22,yhat_model_1_to_23,yhat_model_1_to_24,yhat_model_1_to_25,yhat_model_1_to_26,yhat_model_1_to_27,yhat_model_1_to_28,yhat_model_1_to_29,yhat_model_1_to_30,yhat_model_1_to_31,yhat_model_1_to_32,yhat_model_1_to_33,yhat_model_1_to_34,yhat_model_1_to_35,yhat_model_1_to_36,yhat_model_1_to_37,yhat_model_1_to_38
11/04/2020,,11.120890769299937,14.56650650732267,16.664478041825745,18.590703429914996,18.076309973489405,18.919390942777277,20.892857778987747,21.59448927766301,22.309438557466407,21.96221465499325,28.018261571774538,31.827016049074658,40.638657197432494,43.53377103398343,45.26960584970615,,,,,,,,,,,,,,,,
12/04/2020,,,14.566506507322668,16.664478041777688,18.590703384176294,18.076304324739677,18.91921466790151,20.890734105118796,21.581454871899435,22.26028301044798,21.83257503604933,27.760619971812254,31.407483068799728,40.0591776771245,42.82924338850758,44.47514269405341,48.714880290276724,,,,,,,,,,,,,,,
13/04/2020,,,,16.664478041776256,18.59070338110196,18.07630363150726,18.91918056247438,20.89015066316481,21.576742696507857,22.238185373332904,21.763139209107187,27.60078511993124,31.113699260457732,39.60867747120515,42.22838367791138,43.743310514262234,47.934979323147935,55.777684167448605,,,,,,,,,,,,,,
14/04/2020,,,,,18.590703380932787,18.07630355957886,18.919174842912575,20.890008957860363,21.57521254243604,22.229145880883173,21.728933183419937,27.508881531623608,30.92183494381302,39.28073860628175,41.74785128911649,43.110700923974946,47.20898137864649,55.027987572232746,65.21716754609847,,,,,,,,,,,,,
15/04/2020,,,,,,18.07630355326893,18.91917401147211,20.88997852903563,21.57476619561941,22.225780646595183,21.71343215497086,27.45987821103344,30.804864048667554,39.05682776262974,41.386364303632035,42.59508530657662,46.57123745195648,54.31881412849437,64.47236399140888,85.40444257104096,,,,,,,,,,,,
16/04/2020,,,,,,,18.91917390670102,20.889972751904814,21.574649231010493,22.224640437052678,21.70696979456781,27.435639943980696,30.738251329849945,38.91326384905449,41.1300491462694,42.19762495831273,46.040374742720886,53.683684689053436,63.760008428332505,84.64376258171404,104.37294027448641,,,,,,,,,,,
17/04/2020,,,,,,,,20.889971782117364,21.574621695543158,22.22428882384748,21.704491162527802,27.424515874333302,30.702800685173226,38.82675674442365,40.95850622801556,41.90729364434753,45.62053140505584,53.14301255475186,63.11303485210399,83.91174608220156,103.59543529713011,117.35372193893438,,,,,,,,,,
18/04/2020,,,,,,,,,21.57461587193309,22.224190136018287,21.703616516829655,27.419778000529064,30.68516416933597,38.7777406292774,40.85003715234374,41.70606226080319,45.30451479327756,52.70440101736624,62.55290711222624,83.24096562198918,102.84389815255615,116.56402423264865,142.3153167739756,,,,,,,,,
19/04/2020,,,,,,,,,,22.224164925402924,21.703332557509448,27.417905115085425,30.676960321688767,38.75161424448966,40.78519387916629,41.573602517814265,45.07786653228575,52.36473693356352,62.0894522409081,82.65336140052199,102.15030946801973,115.79755856148986,141.5078738177818,168.46852212942773,,,,,,,,
20/04/2020,,,,,,,,,,,21.70324773983907,27.417217916213655,30.673391659609848,38.738510491418275,40.748528693194174,41.49074718599664,44.922856939180605,52.113337890865225,61.72232907831534,82.15999473436943,101.53671631620873,115.08546136519739,140.72300515431687,167.63766349763563,183.81797837358556,,,,,,,
21/04/2020,,,,,,,,,,,,27.41698385879708,30.67193980265119,38.73232498456893,40.72891242841962,41.44147693816737,44.82170647021724,51.935348666278074,61.443560791943,81.76223571197528,101.01500066392073,114.4496885646964,139.99061606853863,166.8313114900949,182.9695836290292,217.16335740288542,,,,,,
22/04/2020,,,,,,,,,,,,,30.671387335338977,38.7295765828193,40.71898005249149,41.41361573302983,44.75870516319468,51.81473102131304,61.240466368454776,81.45392149502737,100.5878773063396,113.90277666368092,139.33210792507526,166.07738609076216,182.14641838800537,216.29809719377198,240.90667914087902,,,,,
23/04/2020,,,,,,,,,,,,,,38.72842696183929,40.71421974069853,41.398630947609576,44.721240247933665,51.73645728141305,61.09840709498897,81.22393872311292,100.25074684782231,113.44865806917731,138.76018829123853,165.39609583080573,181.37471642248346,215.4590453198819,240.02560609425166,253.8407041674919,,,,
24/04/2020,,,,,,,,,,,,,,,40.712059943571866,41.39096448917298,44.6999646662845,51.68779853931831,61.002956286491695,81.0587334494352,99.99396146180976,113.08423110291147,138.27956259038467,164.79978375146547,180.67371453916408,214.6707155043779,239.17184609035112,252.94843937620067,300.3768366655391,,,
25/04/2020,,,,,,,,,,,,,,,,41.38723308231409,44.68842523897821,51.6588143794108,60.94132561986784,80.94439240141759,99.80509107136571,112.8013281368432,137.8882719058198,164.2934940420215,180.05551445056784,213.95130743561714,238.3681807361338,252.08346672450972,299.4843434591627,349.349542328835,,
26/04/2020,,,,,,,,,,,,,,,,,44.68244688987484,51.64226793881875,60.903073886321366,80.86811466149727,99.67087790935045,112.58874048646501,137.5793953182525,163.87608450128897,179.52554030412983,213.31257700314453,237.63173946393954,251.2672088997811,298.6165706936516,348.4510295796351,389.90898255205025,
27/04/2020,,,,,,,,,,,,,,,,,,51.63321349856883,60.8802472038201,80.81905348698615,99.5787004657322,112.43402892073526,137.34284053505968,163.54166937569545,179.0834615513364,212.76019766118097,236.97386428756667,250.51598227431816,297.79415582052195,347.5763558848263,389.0026882426075,389.6184698324911
